,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
220,2021,Josh Jackson,SG,23,DET,7,5,23.3,5.6,12.3,.453,1.4,4.9,.294,4.1,7.4,.558,.512,1.4,2.1,.667,0.6,3.6,4.1,1.7,1.0,0.6,1.6,2.6,14.0
221,2021,Justin Jackson,SF,25,OKC,2,1,24.0,2.5,6.5,.385,0.0,4.0,.000,2.5,2.5,1.000,.385,2.0,2.0,1.000,0.5,4.0,4.5,1.5,0.5,0.0,2.5,1.5,7.0
222,2021,Reggie Jackson,SG,30,LAC,10,0,13.5,2.2,4.7,.468,1.0,2.6,.385,1.2,2.1,.571,.574,0.2,0.5,.400,0.1,1.4,1.5,2.0,0.4,0.1,0.5,1.4,5.6
223,2021,Justin James,SF,24,SAC,4,0,7.3,0.8,2.3,.333,0.0,1.0,.000,0.8,1.3,.600,.333,0.3,1.8,.143,0.3,1.0,1.3,0.8,0.3,0.0,0.0,0.0,1.8
224,2021,LeBron James,PG,36,LAL,10,10,32.8,9.0,18.5,.486,2.2,6.0,.367,6.8,12.5,.544,.546,4.4,6.0,.733,0.8,7.6,8.4,7.8,0.9,0.3,3.7,1.2,24.6
225,2021,Isaiah Joe,SG,21,PHI,5,1,14.4,1.0,5.0,.200,0.6,3.2,.188,0.4,1.8,.222,.260,0.4,0.4,1.000,0.6,1.2,1.8,1.2,0.4,0.2,0.4,1.2,3.0
226,2021,Cameron Johnson,PF,24,PHO,10,0,23.6,4.6,9.5,.484,2.7,6.7,.403,1.9,2.8,.679,.626,1.2,1.2,1.000,0.3,2.8,3.1,1.4,0.6,0.6,0.5,1.0,13.1
227,2021,James Johnson,PF,33,DAL,9,0,16.1,1.8,4.4,.400,0.6,1.8,.313,1.2,2.7,.458,.463,0.9,1.6,.571,0.4,2.8,3.2,2.0,1.4,0.3,1.0,1.9,5.0
228,2021,Keldon Johnson,SF,21,SAS,9,9,31.2,5.2,11.6,.452,1.4,3.4,.419,3.8,8.1,.466,.514,2.3,2.8,.840,1.8,5.7,7.4,2.7,1.2,0.6,1.8,2.6,14.2
229,2021,Stanley Johnson,PF,24,TOR,6,0,12.3,0.5,2.2,.231,0.2,1.2,.143,0.3,1.0,.333,.269,0.0,0.0,,0.8,2.3,3.2,1.0,1.0,0.2,0.5,1.2,1.2
230,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2021,Tyler Johnson,SG,28,BRK,4,0,7.5,0.8,1.8,.429,0.8,1.3,.600,0.0,0.5,.000,.643,0.0,0.0,,0.3,0.3,0.5,1.8,0.8,0.0,0.0,0.3,2.3
232,2021,Nikola Jokić,C,25,DEN,9,9,35.7,9.1,15.6,.586,1.3,3.0,.444,7.8,12.6,.619,.629,5.1,6.4,.793,2.7,8.7,11.3,11.0,1.3,0.4,4.8,3.6,24.7
233,2021,Damian Jones,C,25,PHO,4,0,7.5,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.8,0.8,1.5,0.0,0.3,0.5,0.5,1.8,0.5
234,2021,Derrick Jones Jr.,SF,23,POR,9,9,28.2,2.3,6.0,.389,0.8,2.6,.304,1.6,3.4,.452,.454,1.2,2.2,.550,1.1,2.4,3.6,0.8,1.3,0.7,0.7,3.0,6.7
235,2021,Mason Jones,SG,22,HOU,1,0,7.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0
236,2021,Tre Jones,PG,21,SAS,3,0,3.3,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,1.0,1.0,1.000,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,3.7
237,2021,Tyus Jones,PG,24,MEM,9,6,26.3,3.4,8.3,.413,0.6,2.8,.200,2.9,5.6,.520,.447,0.3,0.6,.600,0.2,2.3,2.6,5.4,1.4,0.3,1.0,0.4,7.8
238,2021,DeAndre Jordan,C,32,BRK,10,7,17.8,1.7,2.3,.739,0.0,0.0,,1.7,2.3,.739,.739,0.7,1.5,.467,1.4,5.6,7.0,1.9,0.2,1.3,1.9,2.6,4.1
239,2021,Cory Joseph,PG,29,SAC,10,0,23.2,2.8,6.7,.418,0.7,2.4,.292,2.1,4.3,.488,.470,1.5,1.9,.789,0.4,2.1,2.5,2.5,0.7,0.5,1.2,3.0,7.8
240,2021,Mfiondu Kabengele,PF,23,LAC,7,0,4.7,0.1,1.3,.111,0.1,0.9,.167,0.0,0.4,.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.3,0.3,0.1,0.3,1.0,0.7
